Position,Value
1,0.0016552099970811177
1,0.00029952129809481236
1,0.0016552099970811177
1,0.0016552099970811177
1,0.00029952129809481236
1,0.11868219694237231
1,0.00029952129809481236
1,0.0016552099970811177
1,0.0016552099970811177
1,0.0016552099970811177
1,0.11868219694237231
1,0.00029952129809481236
1,0.11868219694237231
1,0.0016552099970811177
1,0.11868219694237231
1,0.00029952129809481236
1,0.0016552099970811177
1,0.0016552099970811177
1,0.00029952129809481236
1,0.11868219694237231
1,0.0016552099970811177
1,0.11868219694237231
2,1.5277227114841246e-05
2,7.694594472460643e-08
2,1.5277227114841246e-05
2,1.5277227114841246e-05
2,7.694594472460643e-08
2,0.11868219694237274
2,7.694594472460643e-08
2,1.5277227114841246e-05
2,1.5277227114841246e-05
2,1.5277227114841246e-05
2,0.11868219694237274
2,7.694594472460643e-08
2,0.11868219694237274
2,1.5277227114841246e-05
2,0.11868219694237274
2,7.694594472460643e-08
2,1.5277227114841246e-05
2,1.5277227114841246e-05
2,7.694594472460643e-08
2,0.11868219694237274
2,1.5277227114841246e-05
2,0.11868219694237274
3,8.077718269523042e-12
3,7.694594472460642e-08
3,8.077718269523042e-12
3,8.077718269523042e-12
3,7.694594472460642e-08
3,7.694594472460642e-08
3,8.077718269523042e-12
3,8.077718269523042e-12
3,8.077718269523042e-12
3,7.694594472460642e-08
3,8.077718269523042e-12
3,7.694594472460642e-08
3,8.077718269523042e-12
3,8.077718269523042e-12
3,7.694594472460642e-08
3,8.077718269523042e-12
4,4.289930113237087e-11
4,7.694594488477776e-08
4,4.289930113237087e-11
4,4.289930113237087e-11
4,7.694594488477776e-08
4,7.694594488477776e-08
4,4.289930113237087e-11
4,4.289930113237087e-11
4,4.289930113237087e-11
4,7.694594488477776e-08
4,4.289930113237087e-11
4,7.694594488477776e-08
4,4.289930113237087e-11
4,4.289930113237087e-11
4,7.694594488477776e-08
4,4.289930113237087e-11
5,4.289930113237087e-11
5,8.242425838342918e-05
5,4.289930113237087e-11
5,4.289930113237087e-11
5,8.242425838342918e-05
5,8.242425838342918e-05
5,4.289930113237087e-11
5,4.289930113237087e-11
5,4.289930113237087e-11
5,8.242425838342918e-05
5,4.289930113237087e-11
5,8.242425838342918e-05
5,4.289930113237087e-11
5,4.289930113237087e-11
5,8.242425838342918e-05
5,4.289930113237087e-11
6,4.289914096104568e-11
6,4.289914096104568e-11
6,4.289914096104568e-11
6,4.289914096104568e-11
6,4.289914096104568e-11
6,4.289914096104568e-11
6,4.289914096104568e-11
6,4.289914096104568e-11
6,4.289914096104568e-11
6,4.289914096104568e-11
7,4.2899644190743555e-11
7,4.2899644190743555e-11
7,4.2899644190743555e-11
7,4.2899644190743555e-11
7,4.2899644190743555e-11
7,4.2899644190743555e-11
7,4.2899644190743555e-11
7,4.2899644190743555e-11
7,4.2899644190743555e-11
7,4.2899644190743555e-11
8,8.571962341536869e-10
8,8.571962341536869e-10
8,8.571962341536869e-10
8,8.571962341536869e-10
8,8.571962341536869e-10
8,8.571962341536869e-10
8,8.571962341536869e-10
8,8.571962341536869e-10
8,8.571962341536869e-10
8,8.571962341536869e-10
9,0.0008574863482754421
9,0.0008574863482754421
9,0.0008574863482754421
9,0.0008574863482754421
9,0.0008574863482754421
9,0.0008574863482754421
9,0.0008574863482754421
9,0.0008574863482754421
9,0.0008574863482754421
9,0.0008574863482754421
